# Time [MJD], Angular separation [deg]
5.891191267855741899e+04,1.471246337890625000e+02
5.891232367785110546e+04,1.467046508789062500e+02
5.891273467714479921e+04,1.463357086181640625e+02
5.891314567643848568e+04,1.458648223876953125e+02
5.891355667573217943e+04,1.455135192871093750e+02
5.891396767502586590e+04,1.450614166259765625e+02
5.891437867431955965e+04,1.446672363281250000e+02
5.891478967361324612e+04,1.442727661132812500e+02
5.891520067290693987e+04,1.438221282958984375e+02
5.891561167220062634e+04,1.434622039794921875e+02
5.891602267149432009e+04,1.430050048828125000e+02
5.891643367078800657e+04,1.426343994140625000e+02
5.891684467008170031e+04,1.421953277587890625e+02
5.891725566937538679e+04,1.417937164306640625e+02
5.891766666866908054e+04,1.414143218994140625e+02
5.891807766796277429e+04,1.409623260498046875e+02
5.891848866725646076e+04,1.406092071533203125e+02
5.891889966655015451e+04,1.401438598632812500e+02
5.891931066584384098e+04,1.397647399902343750e+02
5.891972166513753473e+04,1.393528137207031250e+02
5.892013266443122120e+04,1.389207000732421875e+02
5.892054366372491495e+04,1.385622558593750000e+02
5.892095466301860142e+04,1.380904998779296875e+02
5.892136566231229517e+04,1.377330322265625000e+02
5.892177666160598164e+04,1.372958831787109375e+02
5.892218766089967539e+04,1.368936614990234375e+02
5.892259866019336187e+04,1.365155334472656250e+02
5.892300965948705561e+04,1.360549621582031250e+02
5.892342065878074209e+04,1.357062072753906250e+02
5.892383165807443584e+04,1.352505035400390625e+02
5.892424265736812231e+04,1.348703765869140625e+02
5.892465365666181606e+04,1.344402923583984375e+02
5.892506465595550253e+04,1.340281677246093750e+02
5.892547565524919628e+04,1.336553192138671875e+02
5.892588665454288275e+04,1.331884765625000000e+02
5.892629765383657650e+04,1.328408203125000000e+02
5.892670865313026297e+04,1.323875732421875000e+02
5.892711965242395672e+04,1.320017395019531250e+02
5.892753065171764320e+04,1.316065521240234375e+02
5.892794165101133694e+04,1.311646575927734375e+02
5.892835265030502342e+04,1.308198699951171875e+02
5.892876364959871717e+04,1.303498229980468750e+02
5.892917464889240364e+04,1.299843139648437500e+02
5.892958564818609739e+04,1.295586853027343750e+02
5.892999664747978386e+04,1.291442871093750000e+02
5.893040764677347761e+04,1.287555084228515625e+02
5.893081864606716408e+04,1.283076934814453125e+02
5.893122964536085783e+04,1.279595260620117188e+02
5.893164064465454430e+04,1.274924774169921875e+02
5.893205164394823805e+04,1.271207199096679688e+02
5.893246264324192452e+04,1.267063598632812500e+02
5.893287364253561827e+04,1.262839431762695312e+02
5.893328464182930475e+04,1.259255599975585938e+02
5.893369564112299850e+04,1.254564819335937500e+02
5.893410664041668497e+04,1.251040954589843750e+02
5.893451763971037872e+04,1.246680297851562500e+02
5.893492863900406519e+04,1.242720184326171875e+02
5.893533963829775894e+04,1.238875274658203125e+02
5.893575063759144541e+04,1.234341659545898438e+02
5.893616163688513916e+04,1.230805053710937500e+02
5.893657263617883291e+04,1.226263504028320312e+02
5.893698363547251938e+04,1.222528457641601562e+02
5.893739463476621313e+04,1.218202056884765625e+02
5.893780563405989960e+04,1.214166946411132812e+02
5.893821663335359335e+04,1.210429763793945312e+02
5.893862763264727982e+04,1.205925903320312500e+02
5.893903863194097357e+04,1.202405929565429688e+02
5.893944963123466005e+04,1.197888870239257812e+02
5.893986063052835379e+04,1.194092330932617188e+02
5.894027162982204027e+04,1.190120315551757812e+02
5.894068262911573402e+04,1.185786666870117188e+02
5.894109362840942049e+04,1.182279357910156250e+02
5.894150462770311424e+04,1.177619552612304688e+02
5.894191562699680071e+04,1.174030609130859375e+02
5.894232662629049446e+04,1.169741363525390625e+02
5.894273762558418093e+04,1.165687942504882812e+02
5.894314862487787468e+04,1.161973648071289062e+02
5.894355962417156115e+04,1.157373352050781250e+02
5.894397062346525490e+04,1.153963317871093750e+02
5.894438162275894138e+04,1.149466857910156250e+02
5.894479262205263512e+04,1.145665435791015625e+02
5.894520362134632160e+04,1.141523895263671875e+02
5.894561462064001535e+04,1.137389144897460938e+02
5.894602561993370182e+04,1.133771667480468750e+02
5.894643661922739557e+04,1.129266891479492188e+02
5.894684761852108204e+04,1.125667877197265625e+02
5.894725861781477579e+04,1.121233139038085938e+02
5.894766961710846226e+04,1.117353744506835938e+02
5.894808061640215601e+04,1.113478546142578125e+02
5.894849161569584248e+04,1.109049148559570312e+02
5.894890261498953623e+04,1.105642395019531250e+02
5.894931361428322271e+04,1.101008148193359375e+02
5.894972461357691645e+04,1.097361068725585938e+02
5.895013561287060293e+04,1.093244705200195312e+02
5.895054661216429668e+04,1.089093704223632812e+02
5.895095761145798315e+04,1.085542984008789062e+02
5.895136861075167690e+04,1.080913467407226562e+02
5.895177961004536337e+04,1.077443771362304688e+02
5.895219060933905712e+04,1.073047332763671875e+02
5.895260160863274359e+04,1.069156951904296875e+02
5.895301260792643734e+04,1.065111236572265625e+02
5.895342360722012381e+04,1.060858383178710938e+02
5.895383460651381756e+04,1.057339782714843750e+02
5.895424560580751131e+04,1.052701568603515625e+02
5.895465660510119778e+04,1.049181823730468750e+02
5.895506760439489153e+04,1.044882583618164062e+02
5.895547860368857800e+04,1.040933303833007812e+02
5.895588960298227175e+04,1.037221450805664062e+02
5.895630060227595823e+04,1.032693099975585938e+02
5.895671160156965198e+04,1.029300308227539062e+02
