# Time [MJD], Angular separation [deg]
5.929428949159417971e+04,1.241921997070312500e+02
5.929470331941958284e+04,1.237232666015625000e+02
5.929511714724498597e+04,1.233665618896484375e+02
5.929553097507038910e+04,1.229326858520507812e+02
5.929594480289579224e+04,1.225325698852539062e+02
5.929635863072119537e+04,1.221577835083007812e+02
5.929677245854659122e+04,1.216989212036132812e+02
5.929718628637199436e+04,1.213561935424804688e+02
5.929760011419739749e+04,1.209035568237304688e+02
5.929801394202280062e+04,1.205255203247070312e+02
5.929842776984820375e+04,1.201228408813476562e+02
5.929884159767360688e+04,1.196906280517578125e+02
5.929925542549901002e+04,1.193384628295898438e+02
5.929966925332441315e+04,1.188715057373046875e+02
5.930008308114981628e+04,1.185136718750000000e+02
5.930049690897521941e+04,1.180647125244140625e+02
5.930091073680062254e+04,1.176797866821289062e+02
5.930132456462602568e+04,1.172877883911132812e+02
5.930173839245142881e+04,1.168472442626953125e+02
5.930215222027682466e+04,1.165052261352539062e+02
5.930256604810222780e+04,1.160388641357421875e+02
5.930297987592763093e+04,1.156744613647460938e+02
5.930339370375303406e+04,1.152590484619140625e+02
5.930380753157843719e+04,1.148460769653320312e+02
5.930422135940384032e+04,1.144812316894531250e+02
5.930463518722924346e+04,1.140172576904296875e+02
5.930504901505464659e+04,1.136707229614257812e+02
5.930546284288004972e+04,1.132248611450195312e+02
5.930587667070545285e+04,1.128376846313476562e+02
5.930629049853085598e+04,1.124484786987304688e+02
5.930670432635625912e+04,1.120075988769531250e+02
5.930711815418166225e+04,1.116528472900390625e+02
5.930753198200705810e+04,1.112020416259765625e+02
5.930794580983246124e+04,1.108377990722656250e+02
5.930835963765786437e+04,1.104051513671875000e+02
5.930877346548326750e+04,1.100107345581054688e+02
5.930918729330867063e+04,1.096344375610351562e+02
5.930960112113407376e+04,1.091897811889648438e+02
5.931001494895947690e+04,1.088430786132812500e+02
5.931042877678488003e+04,1.083846435546875000e+02
5.931084260461028316e+04,1.080128936767578125e+02
5.931125643243568629e+04,1.076067047119140625e+02
5.931167026026108942e+04,1.071823501586914062e+02
5.931208408808649256e+04,1.068293914794921875e+02
5.931249791591189569e+04,1.063653030395507812e+02
5.931291174373729882e+04,1.060148925781250000e+02
5.931332557156269468e+04,1.055844497680664062e+02
5.931373939938809781e+04,1.051897811889648438e+02
5.931415322721350094e+04,1.048176879882812500e+02
5.931456705503890407e+04,1.043659439086914062e+02
5.931498088286430720e+04,1.040209808349609375e+02
5.931539471068971034e+04,1.035733413696289062e+02
5.931580853851511347e+04,1.032002334594726562e+02
5.931622236634051660e+04,1.027769851684570312e+02
5.931663619416591973e+04,1.023727951049804688e+02
5.931705002199132286e+04,1.020057601928710938e+02
5.931746384981672600e+04,1.015479583740234375e+02
5.931787767764212913e+04,1.012067260742187500e+02
5.931829150546753226e+04,1.007612152099609375e+02
5.931870533329293539e+04,1.003826904296875000e+02
5.931911916111833125e+04,9.999291229248046875e+01
5.931953298894373438e+04,9.955902099609375000e+01
5.931994681676913751e+04,9.922045898437500000e+01
5.932036064459454064e+04,9.875861358642578125e+01
5.932077447241994378e+04,9.840091705322265625e+01
5.932118830024534691e+04,9.798202514648437500e+01
5.932160212807075004e+04,9.757632446289062500e+01
5.932201595589615317e+04,9.721235656738281250e+01
5.932242978372155630e+04,9.675450134277343750e+01
5.932284361154695944e+04,9.641309356689453125e+01
5.932325743937236257e+04,9.595401000976562500e+01
5.932367126719776570e+04,9.558950805664062500e+01
5.932408509502316883e+04,9.518187713623046875e+01
5.932449892284856469e+04,9.476767730712890625e+01
5.932491275067396782e+04,9.441593933105468750e+01
5.932532657849937095e+04,9.395626068115234375e+01
5.932574040632477409e+04,9.361041259765625000e+01
5.932615423415017722e+04,9.318148040771484375e+01
5.932656806197558035e+04,9.279285430908203125e+01
5.932698188980098348e+04,9.241450500488281250e+01
5.932739571762638661e+04,9.196994018554687500e+01
5.932780954545178975e+04,9.163339996337890625e+01
5.932822337327719288e+04,9.117694091796875000e+01
5.932863720110259601e+04,9.081056976318359375e+01
5.932905102892799914e+04,9.038528442382812500e+01
5.932946485675340227e+04,8.999008941650390625e+01
5.932987868457880541e+04,8.962293243408203125e+01
5.933029251240420126e+04,8.918059539794921875e+01
5.933070634022960439e+04,8.883483123779296875e+01
5.933112016805500753e+04,8.839070129394531250e+01
5.933153399588041066e+04,8.801777648925781250e+01
5.933194782370581379e+04,8.762640380859375000e+01
